,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3
154,Slovakia,2020-11-29 12:27:23,48.669,19.699,105733.0,816.0,64197.0,40720.0,1936.628457208649,,,0.7717552703507893,703,SVK
155,Slovenia,2020-11-29 12:27:23,46.1512,14.9955,75370.0,1384.0,53687.0,20299.0,3625.419205630583,,,1.8362743797266816,705,SVN
156,Solomon Islands,2020-11-29 12:27:23,-9.6457,160.1562,17.0,0.0,5.0,12.0,2.6039353121199404,,,0.0,90,SLB
157,Somalia,2020-11-29 12:27:23,5.152149,46.199616,4451.0,113.0,3417.0,921.0,28.005654486985932,,,2.5387553358795776,706,SOM
158,South Africa,2020-11-29 12:27:23,-30.5595,22.9375,785139.0,21439.0,723347.0,40353.0,1323.8178081491938,,,2.730599295156654,710,ZAF
159,South Sudan,2020-11-29 12:27:23,6.877000000000002,31.307,3104.0,61.0,2954.0,89.0,27.72981193309218,,,1.9652061855670104,728,SSD
160,Spain,2020-11-29 12:27:23,40.463667,-3.74922,1628208.0,44668.0,150376.0,1433164.0,3482.441571806675,,,2.7433841376531745,724,ESP
161,Sri Lanka,2020-11-29 12:27:23,7.873054,80.77179699999998,22988.0,109.0,17002.0,5877.0,107.3540915087621,,,0.4741604315294937,144,LKA
162,Sudan,2020-11-29 12:27:23,12.8628,30.2176,17404.0,1235.0,10175.0,5994.0,39.69051342680308,,,7.096069868995633,729,SDN
163,Suriname,2020-11-29 12:27:23,3.9193,-56.0278,5312.0,117.0,5192.0,3.0,905.5049656174035,,,2.202560240963856,740,SUR
164,Sweden,2020-11-29 12:27:23,60.1282,18.6435,243129.0,6681.0,0.0,236448.0,2407.3918213890706,,,2.7479239416112438,752,SWE
165,Switzerland,2020-11-29 12:27:23,46.8182,8.2275,318290.0,4631.0,222100.0,91559.0,3677.6897605417134,,,1.4549624556222314,756,CHE
166,Syria,2020-11-29 12:27:23,34.802075,38.99681500000001,7715.0,409.0,3444.0,3862.0,44.08405924417582,,,5.3013609850939725,760,SYR
167,Taiwan*,2020-11-29 12:27:23,23.7,121.0,651.0,7.0,565.0,79.0,2.7333675529117607,,,1.075268817204301,158,TWN
168,Tajikistan,2020-11-29 12:27:23,38.861,71.2761,12118.0,86.0,11518.0,514.0,127.05446482474387,,,0.7096880673378445,762,TJK
169,Tanzania,2020-11-29 12:27:23,-6.369028,34.888822,509.0,21.0,183.0,305.0,0.852107987092757,,,4.12573673870334,834,TZA
170,Thailand,2020-11-29 12:27:23,15.870032,100.992541,3977.0,60.0,3800.0,117.0,5.697709532229365,,,1.5086748805632386,764,THA
171,Timor-Leste,2020-11-29 12:27:23,-8.874217,125.727539,30.0,0.0,30.0,0.0,2.2754129495267903,,,0.0,626,TLS
172,Togo,2020-11-29 12:27:23,8.6195,0.8248,2946.0,64.0,2435.0,447.0,35.585138167814726,,,2.1724372029871013,768,TGO
173,Trinidad and Tobago,2020-11-29 12:27:23,10.6918,-61.2225,6630.0,118.0,5732.0,780.0,473.74366823366495,,,1.7797888386123681,780,TTO
174,Tunisia,2020-11-29 12:27:23,33.886917,9.537499,94980.0,3153.0,69226.0,22601.0,803.6472623110417,,,3.3196462413139614,788,TUN
175,Turkey,2020-11-29 12:27:23,38.9637,35.2433,578347.0,13373.0,396227.0,168747.0,685.7403343103142,,,2.3122796521811297,792,TUR
176,US,2020-11-29 12:27:23,40.0,-100.0,13247386.0,266074.0,5024365.0,7956849.0,4020.862432226487,,,2.0085019036963216,840,USA
177,Uganda,2020-11-29 12:27:23,1.373333,32.290275,19944.0,201.0,8944.0,10799.0,43.60202006952186,,,1.0078219013237064,800,UGA
178,Ukraine,2020-11-29 12:27:23,48.3794,31.1656,742105.0,12613.0,354556.0,374936.0,1696.869916898751,,,1.6996247161789777,804,UKR
